,Genre,Number of Books
0,Literature & Fiction,9688
1,Action & Adventure,7270
2,Fantasy & Magic,4005
3,Fantasy,10579
4,Literary,15846
5,Satire,1313
6,Political,2021
7,Reference,3244
8,Humor & Satire,709
9,Classics,6410
10,Short Story Collections,219
11,Siblings,1011
12,1900s,323
13,Multigenerational,456
14,Subjects,21773
15,Girls & Women,1682
16,Sword & Sorcery,1487
17,Mysteries & Detectives,1374
18,Science Fiction,6004
19,Contemporary,29749
20,Books & Libraries,173
21,Family Life,3649
22,1800s,268
23,Humor,5969
24,Marriage & Divorce,137
25,Superheroes,1893
26,Schools & Teaching,567
27,Humorous,3263
28,Birds,290
29,Apes & Monkeys,111
30,Friendship,3649
31,Zoos,63
32,Self-Esteem & Self-Respect,481
33,Emotions & Feelings,1167
34,Being a Teen,869
35,Farm Animals,205
36,Science Fiction & Fantasy,3221
37,Physiology,44
38,Anatomy & Physiology,63
39,School,1046
40,Nature,424
41,Zoology,128
42,Environment,184
43,Environment & Ecology,60
44,Diseases,166
45,Romance,7506
46,Parapsychology,75
47,"Love, Sex & Marriage",285
48,Parenting & Families,219
49,Essays,1700
50,Reading & Phonics,104
51,Economics,588
52,Language Arts,54
53,Elementary Education,85
54,Vocabulary,19
55,Linguistics,229
56,Education & Reference,248
57,Coming of Age,2453
58,Historical,12076
59,Women,2014
60,Depression,99
61,Mental Illness,176
62,Bipolar,30
63,Memoirs,4151
64,Self-Help,627
65,Mood Disorders,45
66,Anthologies,3060
67,Inspirational,763
68,Medical,703
69,Entertaining & Holidays,77
70,Celebrities & TV Shows,143
71,New England,74
72,General,2730
73,Education,423
74,Literature,1705
75,Library & Information Science,24
76,Instruction Methods,211
77,Library Management,12
78,"New, Used & Rental Textbooks",677
79,Web Services,6
80,Orphans & Foster Homes,306
81,Social & Family Issues,508
82,United States,25122
83,Psychological Thrillers,2590
84,Children's Books,1899
85,Other Religious Fiction,56
86,DC,932
87,Violence,192
88,Bullying,113
89,Comic Books,345
90,Science Fiction & Dystopian,872
91,Rabbits,162
92,Study Skills,40
93,Short Stories,3015
94,Horror,4033
95,Suspense,9484
96,Genetic Engineering,334
97,Ghosts,1252
98,Contemporary Fiction,1416
99,"Mystery, Thriller & Suspense",1852
100,Romantic,5137
101,Mystery & Detective,903
102,Mystery & Thriller,305
103,Paranormal & Urban,5359
104,Fantasy & Supernatural,404
105,Categories,728
106,Time Travel,657
107,Murder,1985
108,Legal,571
109,British Detectives,1177
110,British & Irish,1998
111,American,1092
112,Teen & Young Adult,4457
113,Epistolary,90
114,Classics & Allegories,92
115,Contemporary Women,6128
116,Women's Fiction,2609
117,Psychological,816
118,Domestic Life,1930
119,Breeds,70
120,Mothers & Children,389
121,Sisters,318
122,Death & Dying,570
123,Family,825
124,Growing Up & Facts of Life,403
125,Survival Stories,461
126,Self Esteem & Reliance,308
127,Dystopian,1112
128,"TV, Movie, Video Game Adaptations",1451
129,Australia & Oceania,507
130,Mystery,4779
131,Children's Literature,57
132,History & Criticism,1043
133,State & Local,1087
134,Olympic Games,24
135,History of Sports,123
136,Boating,19
137,Financial Risk Management,5
138,Investing,120
139,Free Enterprise,44
140,Banks & Banking,40
141,Theory,321
142,Company Profiles,220
143,White Collar Crime,25
144,Ethics,247
145,Management,570
146,Politics & Government,298
147,Oil & Energy,27
148,Natural Resource Extraction,6
149,Finance,213
150,Economic History,189
151,Government & Business,42
152,Decision-Making & Problem Solving,168
153,Customer Relations,61
154,Strategy & Competition,54
155,Industrial,22
156,Leadership,518
157,Decision Making,145
158,Strategic Planning,118
159,Systems & Planning,145
160,Social Psychology & Interactions,231
161,Applied Psychology,125
162,Personality,170
163,Consolidation & Merger,6
164,Business,398
165,Operations Research,16
166,Web Marketing,71
167,E-Commerce,119
168,Technology,492
169,Retailing,67
170,Organizational Learning,33
171,History,3124
172,Workplace Culture,110
173,Motivational,1084
174,Social Sciences,1104
175,Economic Conditions,199
176,Globalization,136
177,Engineering,501
178,Environmental Economics,79
179,Sustainable Development,24
180,Cycling,71
181,Biographies & Memoirs,1051
182,Biographies,597
183,Scientists,231
184,Patents & Inventions,32
185,Aerospace,16
186,Aeronautics & Astronautics,63
187,Educators,77
188,Death,210
189,Grief & Bereavement,146
190,Espionage,1275
191,Organized Crime,306
192,Crime,2726
193,Women's Adventure,244
194,Thriller & Suspense,1741
195,Conspiracies,387
196,Assassinations,333
197,English as a Second Language,262
198,Personal Transformation,1306
199,Authors,1193
200,Travel Writing,690
201,Travelers & Explorers,788
202,Expeditions & Discoveries,124
203,Adventure,3022
204,Pacific,68
205,Computers & Technology,234
206,Advertising,140
207,Marketing,214
208,Sociology,906
209,Christian Books & Bibles,106
210,Thrillers & Suspense,1121
211,Performing Arts,1522
212,Film & Video Art,63
213,Movies,172
214,Animation,34
215,How To Create Comics & Manga,80
216,Historical & Biographical Fiction,156
217,Genre Films,82
218,Professionals & Academics,17
219,Culinary,486
220,Divorce,157
221,Sagas,953
222,Historical Fiction,663
223,Hard-Boiled,886
224,Private Investigators,696
225,Biographical,779
226,Holidays,828
227,Sea Adventures,181
228,Police Procedurals,1843
229,Self-Help & Psychology,225
230,Computers & Internet,31
231,Actors & Entertainers,1269
232,Humor & Entertainment,1208
233,Child Abuse,103
234,True Crime,279
235,Television Performers,561
236,Television,131
237,Sex,187
238,Abuse,189
239,Dysfunctional Relationships,63
240,Shows,117
241,Aliens,119
242,Religion & Spirituality,3351
243,"Paranormal, Occult & Supernatural",185
244,Values & Virtues,176
245,Greek & Roman,397
246,Interpersonal Relations,346
247,Love & Romance,341
248,Marriage,295
249,Nature & the Natural World,79
250,Social Issues,870
251,Scary Stories,149
252,Boys & Men,394
253,Visionary & Metaphysical,25
254,Myths & Legends,324
255,Paranormal,6222
256,Paranormal & Fantasy,443
257,Self-Esteem,293
258,Other,85
259,Spine-Chilling Horror,855
260,German,490
261,Japanese,185
262,Asian American,137
263,Family Saga,2160
264,War,1235
265,Military,3287
266,Spanish & Portuguese,243
267,Journalists,289
268,Russia,203
269,Occult,844
270,Middle East,270
271,Iran,42
272,Women in History,511
273,Biographies & History,173
274,Arts & Photography,253
275,Foreign Language Fiction,4162
276,Catalan,10
277,Europe,1264
278,Soccer,112
279,Deportes,4
280,Exploration,159
281,Hard Science Fiction,712
282,Epic,3583
283,International Mystery & Crime,586
284,Serial Killers,707
285,Women Sleuths,4165
286,Technothrillers,374
287,Magical Realism,302
288,Fiction,820
289,Movements & Periods,800
290,Criticism & Theory,1864
291,Research,202
292,Communication & Media Studies,387
293,Processes & Infrastructure,59
294,Production & Operations,33
295,Organizational Behavior,17
296,Experiments & Projects,28
297,Birdwatching,45
298,Organic,96
299,Letters & Correspondence,16
300,Poetry,1048
301,European,885
302,Letters,117
303,Spanish,605
304,Criticism,501
305,Lesbian,1039
306,Nature Writing & Essays,165
307,Runaways,108
308,Christmas,412
309,Drama & Theater,27
310,Dragons,192
311,Animals,1382
312,Halloween,303
313,Kindle eBooks,59
314,Dark Fantasy,643
315,Holocaust,400
316,Prejudice & Racism,255
317,Values,381
318,Military & Wars,203
319,Holiday Toy List,18
320,Boats & Ships,46
321,Foreign Language Study & Reference,736
322,Book Industry,26
323,Parents,699
324,Energy Production & Extraction,11
325,Corporate Law,3
326,Company Histories,37
327,Energy,2
328,Motivation & Self-Improvement,312
329,Personal Finance,331
330,Success,635
331,"Health, Fitness & Dieting",571
332,Forensic Psychology,29
333,Murder & Mayhem,450
334,Regency,1454
335,Mathematics,221
336,Programming Languages,214
337,Operating Systems,37
338,Programming,59
339,Software,132
340,New Experiences,553
341,Wizards & Witches,288
342,Illustration,121
343,World War II,630
344,Jewish,532
345,Guides,307
346,Budgeting & Money Management,97
347,Time Management,92
348,War & Military,639
349,Manga,1376
350,Political Science,556
351,Political Freedom,64
352,Journalism & Nonfiction,149
353,Techniques,94
